RSSI,Ping,send_time_echoer,recv_time_echoer
-94,NA,792603116889659000,792603116888241000
-91,NA,792603116989427000,792603116988165000
-92,NA,792603117099498000,792603117098192000
-92,NA,792603117209480000,792603117208196000
-92,NA,792603117319451000,792603117318174000
-91,NA,792603117429417000,792603117428167000
-90,NA,792603117539453000,792603117538183000
-93,NA,792603117649430000,792603117648167000
-95,NA,792603117759456000,792603117758170000
-93,NA,792603117869430000,792603117868175000
NA,NA,NA,NA
-91,NA,792603118089612000,792603118088201000
-94,NA,792603118199514000,792603118198184000
-94,NA,792603118309465000,792603118308173000
-95,NA,792603118419439000,792603118418165000
-95,NA,792603118529450000,792603118528175000
NA,NA,NA,NA
-92,NA,792603118749499000,792603118748181000
-95,NA,792603118859471000,792603118858171000
NA,NA,NA,NA
-94,NA,792603119079638000,792603119078194000
-93,NA,792603119189615000,792603119188302000
-94,NA,792603119299482000,792603119298176000
NA,NA,NA,NA
-95,NA,792603119519465000,792603119518156000
-93,NA,792603119629459000,792603119628163000
-97,NA,792603119739704000,792603119738170000
-96,NA,792603119849662000,792603119848237000
-94,NA,792603119959650000,792603119958256000
NA,NA,NA,NA
-93,NA,792603120179681000,792603120178262000
-94,NA,792603120289701000,792603120288266000
-94,NA,792603120399628000,792603120398247000
-95,NA,792603120509644000,792603120508249000
-92,NA,792603120619667000,792603120618242000
-94,NA,792603120729627000,792603120728250000
-94,NA,792603120839628000,792603120838238000
-92,NA,792603120949633000,792603120948242000
-94,NA,792603121059843000,792603121058427000
NA,NA,NA,NA
-95,NA,792603121279719000,792603121278271000
-95,NA,792603121389625000,792603121388243000
NA,NA,NA,NA
-93,NA,792603121609657000,792603121608254000
-94,NA,792603121719683000,792603121718254000
-94,NA,792603121829638000,792603121828254000
-94,NA,792603121939641000,792603121938249000
NA,NA,NA,NA
-95,NA,792603122159683000,792603122158273000
NA,NA,NA,NA
NA,NA,NA,NA
-95,NA,792603122489730000,792603122488279000
-92,NA,792603122599646000,792603122598259000
-95,NA,792603122709642000,792603122708247000
-96,NA,792603122819684000,792603122818271000
-96,NA,792603122929655000,792603122928254000
-94,NA,792603123039688000,792603123038264000
-94,NA,792603123149777000,792603123148278000
-96,NA,792603123259794000,792603123258313000
-96,NA,792603123369643000,792603123368255000
-96,NA,792603123479647000,792603123478255000
-93,NA,792603123589650000,792603123588255000
-94,NA,792603123699650000,792603123698253000
-95,NA,792603123809649000,792603123808254000
-95,NA,792603123919700000,792603123918270000
-97,NA,792603124029659000,792603124028250000
-96,NA,792603124139728000,792603124138282000
-95,NA,792603124249739000,792603124248275000
NA,NA,NA,NA
-96,NA,792603124469656000,792603124468252000
NA,NA,NA,NA
-94,NA,792603124689738000,792603124688247000
NA,NA,NA,NA
-93,NA,792603124909669000,792603124908261000
-96,NA,792603125019663000,792603125018247000
-97,NA,792603125129697000,792603125128285000
-95,NA,792603125239716000,792603125238274000
-96,NA,792603125349661000,792603125348256000
NA,NA,NA,NA
-95,NA,792603125569701000,792603125568258000
-94,NA,792603125679683000,792603125678261000
-94,NA,792603125789702000,792603125788251000
-95,NA,792603125899699000,792603125898258000
NA,NA,NA,NA
NA,NA,NA,NA
-96,NA,792603126229764000,792603126228294000
-95,NA,792603126339688000,792603126338256000
-97,NA,792603126449829000,792603126448245000
-93,NA,792603126559828000,792603126558257000
-96,NA,792603126669752000,792603126668246000
-94,NA,792603126779699000,792603126778255000
NA,NA,NA,NA
-95,NA,792603126999679000,792603126998253000
NA,NA,NA,NA
-96,NA,792603127219747000,792603127218307000
-95,NA,792603127329679000,792603127328251000
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-97,NA,792603127773278000,792603127768263000
